


TRAINING TEST
Model,Scheduler,Batch Size,Learning Rate,Weight Decay,Layers,Evaluation Level,PCK@0.05 (%),PCK@0.10 (%),PCK@0.20 (%)
Dinov2 vitb14, None, 5, 1e-4, 1e-2, 2, Keypoint Level, 50.41, 66.08, 76.45
Dinov2 vitb14, None, 5, 1e-4, 1e-2, 2, Image Level,    48.45, 63.74, 74.34

==================================================
PCK PER POINT (Keypoint Level)
==================================================
Category        | PCK@0.05   | PCK@0.10   | PCK@0.20  
-------------------------------------------------------
aeroplane       | 68.90    % | 77.52    % | 85.13    %
bicycle         | 50.28    % | 64.38    % | 74.00    %
bird            | 71.41    % | 87.07    % | 94.53    %
boat            | 35.00    % | 55.17    % | 69.23    %
bottle          | 34.65    % | 47.10    % | 57.61    %
bus             | 58.75    % | 70.59    % | 76.71    %
car             | 53.54    % | 66.43    % | 73.05    %
cat             | 65.76    % | 75.23    % | 84.62    %
chair           | 36.91    % | 46.06    % | 55.23    %
cow             | 53.10    % | 75.16    % | 86.06    %
dog             | 55.23    % | 75.20    % | 85.76    %
horse           | 55.34    % | 75.74    % | 88.39    %
motorbike       | 56.06    % | 70.66    % | 81.39    %
person          | 54.84    % | 72.25    % | 82.47    %
pottedplant     | 30.51    % | 46.55    % | 62.27    %
sheep           | 40.63    % | 60.16    % | 74.55    %
train           | 46.11    % | 64.99    % | 77.66    %
tvmonitor       | 41.15    % | 58.74    % | 67.19    %
-------------------------------------------------------
OVERALL         | 50.41    % | 66.08    % | 76.45    %
=======================================================

==================================================
PCK PER IMAGE (Image Level)
==================================================
Category        | PCK@0.05   | PCK@0.10   | PCK@0.20  
-------------------------------------------------------
aeroplane       | 70.62    % | 78.49    % | 85.82    %
bicycle         | 47.81    % | 61.33    % | 70.77    %
bird            | 71.50    % | 87.22    % | 94.42    %
boat            | 36.69    % | 55.03    % | 68.11    %
bottle          | 33.77    % | 46.26    % | 56.68    %
bus             | 56.88    % | 67.88    % | 74.08    %
car             | 49.12    % | 61.59    % | 68.64    %
cat             | 66.06    % | 75.47    % | 84.89    %
chair           | 36.02    % | 46.34    % | 55.30    %
cow             | 51.78    % | 74.31    % | 86.15    %
dog             | 54.00    % | 74.45    % | 85.09    %
horse           | 53.53    % | 73.35    % | 85.70    %
motorbike       | 55.17    % | 69.33    % | 80.48    %
person          | 53.52    % | 70.97    % | 81.74    %
pottedplant     | 27.76    % | 42.74    % | 57.82    %
