method,category,PCK per point 0.05,PCK per point 0.1,PCK per point 0.2,PCK per image 0.05,PCK per image 0.1,PCK per image 0.2
SAM Zero Shot,aeroplane,17.938931,25.972374,39.858233,15.869407,23.563374,37.232344
SAM Zero Shot,bicycle,10.243145,16.24418,27.392654,9.057986,14.487496,24.939444
SAM Zero Shot,bird,20.331187,30.887764,45.216191,19.372903,29.716307,43.593368
SAM Zero Shot,boat,10.484347,18.192558,32.959244,8.396305,14.700516,27.935038
SAM Zero Shot,bottle,17.346621,26.782934,41.871691,16.196451,25.523125,40.49512
SAM Zero Shot,bus,13.465833,18.066101,28.048236,10.585808,14.331214,23.085815
SAM Zero Shot,car,15.005568,20.601336,30.734967,10.14979,14.624833,24.5826
SAM Zero Shot,cat,28.299451,39.383672,55.001613,28.414077,39.466936,55.180008
SAM Zero Shot,chair,9.419496,13.855422,22.480832,8.089151,12.344537,20.273696
SAM Zero Shot,cow,19.130272,27.286301,40.836133,15.847609,23.770996,35.921331
SAM Zero Shot,dog,12.911287,20.803832,35.485214,11.906433,19.353091,33.604141
SAM Zero Shot,horse,9.906463,16.390306,27.912415,8.921261,14.936835,26.321362
SAM Zero Shot,motorbike,8.877131,16.431511,26.866549,8.374033,16.043504,26.581084
SAM Zero Shot,person,18.226257,30.70298,45.251397,15.347202,26.833152,41.972514
SAM Zero Shot,pottedplant,13.131089,23.117803,33.370239,10.853267,19.583564,30.365245
SAM Zero Shot,sheep,9.078947,15.578947,26.815789,7.184453,12.402549,22.935652
SAM Zero Shot,train,19.699769,30.531178,49.872979,17.72191,28.042706,47.036089
SAM Zero Shot,tvmonitor,14.320719,24.612034,40.552682,13.889696,23.800512,39.512347
SAM Zero Shot,All,14.878695,23.080068,36.140392,13.120986,20.751403,33.4204
