method,category,PCK per point 0.05,PCK per point 0.1,PCK per point 0.2,PCK per image 0.05,PCK per image 0.1,PCK per image 0.2
SAM vit-B/16 fine-tuned,aeroplane,36.604871,44.929117,58.633224,35.301977,43.186791,56.670247
SAM vit-B/16 fine-tuned,bicycle,21.90895,29.177444,39.886187,21.361422,28.241925,38.559096
SAM vit-B/16 fine-tuned,bird,50.344986,67.111316,80.887764,50.526556,67.391673,81.096013
SAM vit-B/16 fine-tuned,boat,22.59303,30.094507,45.924395,24.884966,31.573791,45.936779
SAM vit-B/16 fine-tuned,bottle,28.075366,37.682965,50.965431,26.187055,36.140257,49.453932
SAM vit-B/16 fine-tuned,bus,37.025458,41.893703,48.972756,33.684488,38.307965,45.399746
SAM vit-B/16 fine-tuned,car,32.516704,38.27951,48.46882,27.200605,32.297871,43.256743
SAM vit-B/16 fine-tuned,cat,52.178122,61.051952,72.474992,52.991191,61.812813,73.246873
SAM vit-B/16 fine-tuned,chair,23.3023,26.369113,32.858708,21.327924,23.974972,29.995577
SAM vit-B/16 fine-tuned,cow,39.60433,49.832027,65.173572,37.613207,48.420562,62.655483
SAM vit-B/16 fine-tuned,dog,32.923782,44.210746,57.975843,30.807145,41.707581,55.629122
SAM vit-B/16 fine-tuned,horse,30.378401,43.133503,57.057823,29.040594,41.527382,54.940612
SAM vit-B/16 fine-tuned,motorbike,23.280423,32.422105,43.650794,22.700561,31.920646,42.864718
SAM vit-B/16 fine-tuned,person,37.290503,51.885475,64.52514,34.452679,48.805338,62.141118
SAM vit-B/16 fine-tuned,pottedplant,31.045173,45.460585,56.465899,26.561568,38.644671,48.769703
SAM vit-B/16 fine-tuned,sheep,26.526316,39.105263,52.868421,23.676859,33.688168,46.070254
SAM vit-B/16 fine-tuned,train,45.323326,58.879908,74.976905,43.131166,57.156135,73.076279
SAM vit-B/16 fine-tuned,tvmonitor,34.032126,50.408386,67.438062,32.439791,47.936976,64.79196
SAM vit-B/16 fine-tuned,All,33.608565,43.995979,56.622485,31.882764,41.81864,54.141903
