method,category,PCK per point 0.05,PCK per point 0.1,PCK per point 0.2,PCK per image 0.05,PCK per image 0.1,PCK per image 0.2
SAM vit-B/16 fine-tuned (LoRA),aeroplane,33.04253,41.548528,54.943657,31.549443,39.738297,52.383661
SAM vit-B/16 fine-tuned (LoRA),bicycle,19.29643,26.978789,38.929126,18.140354,25.002742,36.618781
SAM vit-B/16 fine-tuned (LoRA),bird,48.229071,65.662374,81.73873,46.568297,64.492067,80.976351
SAM vit-B/16 fine-tuned (LoRA),boat,21.972829,29.710573,41.435322,22.863417,29.174241,39.959922
SAM vit-B/16 fine-tuned (LoRA),bottle,27.888508,37.558393,51.884148,26.269796,36.104543,50.290549
SAM vit-B/16 fine-tuned (LoRA),bus,32.157213,38.276016,45.779366,27.561017,33.114882,40.234239
SAM vit-B/16 fine-tuned (LoRA),car,26.865256,34.214922,44.571269,20.56322,26.842946,37.688403
SAM vit-B/16 fine-tuned (LoRA),cat,47.111972,58.954501,72.491126,47.616151,59.460557,73.200705
SAM vit-B/16 fine-tuned (LoRA),chair,21.768894,25.711939,33.844469,19.274719,23.261429,31.337155
SAM vit-B/16 fine-tuned (LoRA),cow,32.848078,45.614035,62.131392,30.094769,43.589666,58.997926
SAM vit-B/16 fine-tuned (LoRA),dog,24.593919,38.692212,55.914202,22.459571,35.747248,53.056224
SAM vit-B/16 fine-tuned (LoRA),horse,27.253401,40.263605,56.356293,26.082815,38.812397,54.561178
SAM vit-B/16 fine-tuned (LoRA),motorbike,21.164021,31.069959,43.415638,20.195925,29.452302,41.924547
SAM vit-B/16 fine-tuned (LoRA),person,30.214153,47.020484,61.522346,27.079722,43.782023,58.714822
SAM vit-B/16 fine-tuned (LoRA),pottedplant,23.53853,38.684677,51.660762,19.994338,32.426527,44.71099
SAM vit-B/16 fine-tuned (LoRA),sheep,20.210526,33.210526,50.184211,17.674313,27.783363,42.806902
SAM vit-B/16 fine-tuned (LoRA),train,42.863741,57.586605,74.110855,41.04225,55.967209,73.307632
SAM vit-B/16 fine-tuned (LoRA),tvmonitor,26.054996,40.947454,58.086033,23.758985,37.282509,53.452631
SAM vit-B/16 fine-tuned (LoRA),All,29.281893,40.650311,54.38883,27.15495,37.89083,51.345701
