method,category,PCK per point 0.05,PCK per point 0.1,PCK per point 0.2,PCK per image 0.05,PCK per image 0.1,PCK per image 0.2
SAM vit-B/16 fine-tuned (LoRA),aeroplane,27.608142,36.368593,50.218103,24.985358,33.840828,47.607896
SAM vit-B/16 fine-tuned (LoRA),bicycle,16.994309,25.012933,36.445939,15.490138,22.774587,33.695521
SAM vit-B/16 fine-tuned (LoRA),bird,42.318307,60.48758,75.229991,40.674357,58.992077,74.531074
SAM vit-B/16 fine-tuned (LoRA),boat,14.648553,24.424099,38.068517,13.594209,22.076098,35.290327
SAM vit-B/16 fine-tuned (LoRA),bottle,22.82778,32.902523,47.383993,21.284802,31.345649,45.792374
SAM vit-B/16 fine-tuned (LoRA),bus,26.686021,32.58151,41.201429,22.287907,27.662149,35.791189
SAM vit-B/16 fine-tuned (LoRA),car,21.937639,29.148107,39.393096,15.950769,22.036818,31.563538
SAM vit-B/16 fine-tuned (LoRA),cat,41.335915,53.969022,68.118748,41.629312,54.239324,68.558968
SAM vit-B/16 fine-tuned (LoRA),chair,16.401972,22.645126,31.270537,14.664586,20.328808,28.067931
SAM vit-B/16 fine-tuned (LoRA),cow,28.723404,39.790967,55.72975,25.739901,37.469016,52.045118
SAM vit-B/16 fine-tuned (LoRA),dog,20.991254,33.236152,50.333195,19.195543,30.646374,47.642111
SAM vit-B/16 fine-tuned (LoRA),horse,20.727041,33.056973,48.873299,19.476824,31.574941,47.091601
SAM vit-B/16 fine-tuned (LoRA),motorbike,15.108760,25.249853,37.066432,13.934733,23.542995,35.735766
SAM vit-B/16 fine-tuned (LoRA),person,25.395717,42.388268,57.402235,22.183839,38.213864,53.600425
SAM vit-B/16 fine-tuned (LoRA),pottedplant,14.260407,27.457927,39.127547,12.08895,23.112778,34.549083
SAM vit-B/16 fine-tuned (LoRA),sheep,15.842105,27.842105,43.710526,13.389000,22.736297,36.547862
SAM vit-B/16 fine-tuned (LoRA),train,29.411085,45.323326,65.635104,27.384996,43.496629,63.902241
SAM vit-B/16 fine-tuned (LoRA),tvmonitor,21.127144,34.821672,51.415736,19.53347,32.593457,48.427417
SAM vit-B/16 fine-tuned (LoRA),All,23.463642,34.817041,48.701343,21.304927,32.037927,45.580025
